id,name,height_dm,weight_hg,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,abilities,generation,is_legendary,is_mythical,color,shape,capture_rate
215,sneasel,9,280,86.0,dark,ice,55,95,55,35,75,115,"inner-focus, keen-eye, pickpocket",generation-ii,False,False,black,upright,60
216,teddiursa,6,88,66.0,normal,,60,80,50,50,50,40,"pickup, quick-feet, honey-gather",generation-ii,False,False,brown,upright,120
217,ursaring,18,1258,175.0,normal,,90,130,75,75,75,55,"guts, quick-feet, unnerve",generation-ii,False,False,brown,upright,60
218,slugma,7,350,50.0,fire,,40,40,40,70,40,20,"magma-armor, flame-body, weak-armor",generation-ii,False,False,red,squiggle,190
219,magcargo,8,550,151.0,fire,rock,60,50,120,90,80,30,"magma-armor, flame-body, weak-armor",generation-ii,False,False,red,squiggle,75
220,swinub,4,65,50.0,ice,ground,50,50,40,30,30,50,"oblivious, snow-cloak, thick-fat",generation-ii,False,False,brown,quadruped,225
221,piloswine,11,558,158.0,ice,ground,100,100,80,60,60,50,"oblivious, snow-cloak, thick-fat",generation-ii,False,False,brown,quadruped,75
222,corsola,6,50,144.0,water,rock,65,55,95,65,95,35,"hustle, natural-cure, regenerator",generation-ii,False,False,pink,armor,60
223,remoraid,6,120,60.0,water,,35,65,35,65,35,65,"hustle, sniper, moody",generation-ii,False,False,gray,fish,190
224,octillery,9,285,168.0,water,,75,105,75,105,75,45,"suction-cups, sniper, moody",generation-ii,False,False,red,tentacles,75
225,delibird,9,160,116.0,ice,flying,45,55,45,65,45,75,"vital-spirit, hustle, insomnia",generation-ii,False,False,red,wings,45
226,mantine,21,2200,170.0,water,flying,85,40,70,80,140,70,"swift-swim, water-absorb, water-veil",generation-ii,False,False,purple,wings,25
227,skarmory,17,505,163.0,steel,flying,65,80,140,40,70,70,"keen-eye, sturdy, weak-armor",generation-ii,False,False,gray,wings,25
228,houndour,6,108,66.0,dark,fire,45,60,30,80,50,65,"early-bird, flash-fire, unnerve",generation-ii,False,False,black,quadruped,120
229,houndoom,14,350,175.0,dark,fire,75,90,50,110,80,95,"early-bird, flash-fire, unnerve",generation-ii,False,False,black,quadruped,45
230,kingdra,18,1520,243.0,water,dragon,75,95,95,95,95,85,"swift-swim, sniper, damp",generation-ii,False,False,blue,blob,45
231,phanpy,5,335,66.0,ground,,90,60,60,40,40,40,"pickup, sand-veil",generation-ii,False,False,blue,quadruped,120
232,donphan,11,1200,175.0,ground,,90,120,120,60,60,50,"sturdy, sand-veil",generation-ii,False,False,gray,quadruped,60
233,porygon2,6,325,180.0,normal,,85,80,90,105,95,60,"trace, download, analytic",generation-ii,False,False,red,legs,45
234,stantler,14,712,163.0,normal,,73,95,62,85,65,85,"intimidate, frisk, sap-sipper",generation-ii,False,False,brown,quadruped,45
235,smeargle,12,580,88.0,normal,,55,20,35,20,45,75,"own-tempo, technician, moody",generation-ii,False,False,white,upright,45
236,tyrogue,7,210,42.0,fighting,,35,35,35,35,35,35,"guts, steadfast, vital-spirit",generation-ii,False,False,purple,humanoid,75
237,hitmontop,14,480,159.0,fighting,,50,95,95,35,110,70,"intimidate, technician, steadfast",generation-ii,False,False,brown,upright,45
238,smoochum,4,60,61.0,ice,psychic,45,30,15,85,65,65,"oblivious, forewarn, hydration",generation-ii,False,False,pink,humanoid,45
239,elekid,6,235,72.0,electric,,45,63,37,65,55,95,"static, vital-spirit",generation-ii,False,False,yellow,humanoid,45
240,magby,7,214,73.0,fire,,45,75,37,70,55,83,"flame-body, vital-spirit",generation-ii,False,False,red,upright,45
241,miltank,12,755,172.0,normal,,95,80,105,40,70,100,"thick-fat, scrappy, sap-sipper",generation-ii,False,False,pink,upright,45
242,blissey,15,468,608.0,normal,,255,10,10,75,135,55,"natural-cure, serene-grace, healer",generation-ii,False,False,pink,humanoid,30
243,raikou,19,1780,261.0,electric,,90,85,75,115,100,115,"pressure, inner-focus",generation-ii,True,False,yellow,quadruped,3
244,entei,21,1980,261.0,fire,,115,115,85,90,75,100,"pressure, inner-focus",generation-ii,True,False,brown,quadruped,3
245,suicune,20,1870,261.0,water,,100,75,115,90,115,85,"pressure, inner-focus",generation-ii,True,False,blue,quadruped,3
246,larvitar,6,720,60.0,rock,ground,50,64,50,45,50,41,"guts, sand-veil",generation-ii,False,False,green,upright,45
247,pupitar,12,1520,144.0,rock,ground,70,84,70,65,70,51,shed-skin,generation-ii,False,False,gray,squiggle,45
248,tyranitar,20,2020,270.0,rock,dark,100,134,110,95,100,61,"sand-stream, unnerve",generation-ii,False,False,green,upright,45
249,lugia,52,2160,306.0,psychic,flying,106,90,130,90,154,110,"pressure, multiscale",generation-ii,True,False,white,wings,3
250,ho-oh,38,1990,306.0,fire,flying,106,130,90,110,154,90,"pressure, regenerator",generation-ii,True,False,red,wings,3
251,celebi,6,50,270.0,psychic,grass,100,100,100,100,100,100,natural-cure,generation-ii,False,True,green,humanoid,45
252,treecko,5,50,62.0,grass,,40,45,35,65,55,70,"overgrow, unburden",generation-iii,False,False,green,upright,45
253,grovyle,9,216,142.0,grass,,50,65,45,85,65,95,"overgrow, unburden",generation-iii,False,False,green,upright,45
254,sceptile,17,522,239.0,grass,,70,85,65,105,85,120,"overgrow, unburden",generation-iii,False,False,green,upright,45
255,torchic,4,25,62.0,fire,,45,60,40,70,50,45,"blaze, speed-boost",generation-iii,False,False,red,legs,45
256,combusken,9,195,142.0,fire,fighting,60,85,60,85,60,55,"blaze, speed-boost",generation-iii,False,False,red,upright,45
257,blaziken,19,520,239.0,fire,fighting,80,120,70,110,70,80,"blaze, speed-boost",generation-iii,False,False,red,upright,45
258,mudkip,4,76,62.0,water,,50,70,50,50,50,40,"torrent, damp",generation-iii,False,False,blue,quadruped,45
259,marshtomp,7,280,142.0,water,ground,70,85,70,60,70,50,"torrent, damp",generation-iii,False,False,blue,upright,45
260,swampert,15,819,241.0,water,ground,100,110,90,85,90,60,"torrent, damp",generation-iii,False,False,blue,upright,45
261,poochyena,5,136,56.0,dark,,35,55,35,30,30,35,"run-away, quick-feet, rattled",generation-iii,False,False,gray,quadruped,255
262,mightyena,10,370,147.0,dark,,70,90,70,60,60,70,"intimidate, quick-feet, moxie",generation-iii,False,False,gray,quadruped,127
263,zigzagoon,4,175,56.0,normal,,38,30,41,30,41,60,"pickup, gluttony, quick-feet",generation-iii,False,False,brown,quadruped,255
264,linoone,5,325,147.0,normal,,78,70,61,50,61,100,"pickup, gluttony, quick-feet",generation-iii,False,False,white,quadruped,90
265,wurmple,3,36,56.0,bug,,45,45,35,20,30,20,"shield-dust, run-away",generation-iii,False,False,red,armor,255
266,silcoon,6,100,72.0,bug,,50,35,55,25,25,15,shed-skin,generation-iii,False,False,white,ball,120
267,beautifly,10,284,178.0,bug,flying,60,70,50,100,50,65,"swarm, rivalry",generation-iii,False,False,yellow,bug-wings,45
268,cascoon,7,115,72.0,bug,,50,35,55,25,25,15,shed-skin,generation-iii,False,False,purple,ball,120
269,dustox,12,316,173.0,bug,poison,60,50,70,50,90,65,"shield-dust, compound-eyes",generation-iii,False,False,green,bug-wings,45
270,lotad,5,26,44.0,water,grass,40,30,30,40,50,30,"swift-swim, rain-dish, own-tempo",generation-iii,False,False,green,armor,255
271,lombre,12,325,119.0,water,grass,60,50,50,60,70,50,"swift-swim, rain-dish, own-tempo",generation-iii,False,False,green,humanoid,120
272,ludicolo,15,550,216.0,water,grass,80,70,70,90,100,70,"swift-swim, rain-dish, own-tempo",generation-iii,False,False,green,humanoid,45
273,seedot,5,40,44.0,grass,,40,40,50,30,30,30,"chlorophyll, early-bird, pickpocket",generation-iii,False,False,brown,legs,255
274,nuzleaf,10,280,119.0,grass,dark,70,70,40,60,40,60,"chlorophyll, early-bird, pickpocket",generation-iii,False,False,brown,humanoid,120
275,shiftry,13,596,216.0,grass,dark,90,100,60,90,60,80,"chlorophyll, wind-rider, pickpocket",generation-iii,False,False,brown,humanoid,45
276,taillow,3,23,54.0,normal,flying,40,55,30,30,30,85,"guts, scrappy",generation-iii,False,False,blue,wings,200
277,swellow,7,198,159.0,normal,flying,60,85,60,75,50,125,"guts, scrappy",generation-iii,False,False,blue,wings,45
278,wingull,6,95,54.0,water,flying,40,30,30,55,30,85,"keen-eye, hydration, rain-dish",generation-iii,False,False,white,wings,190
279,pelipper,12,280,154.0,water,flying,60,50,100,95,70,65,"keen-eye, drizzle, rain-dish",generation-iii,False,False,yellow,wings,45
280,ralts,4,66,40.0,psychic,fairy,28,25,25,45,35,40,"synchronize, trace, telepathy",generation-iii,False,False,white,humanoid,235
281,kirlia,8,202,97.0,psychic,fairy,38,35,35,65,55,50,"synchronize, trace, telepathy",generation-iii,False,False,white,humanoid,120
282,gardevoir,16,484,233.0,psychic,fairy,68,65,65,125,115,80,"synchronize, trace, telepathy",generation-iii,False,False,white,humanoid,45
283,surskit,5,17,54.0,bug,water,40,30,32,50,52,65,"swift-swim, rain-dish",generation-iii,False,False,blue,armor,200
284,masquerain,8,36,159.0,bug,flying,70,60,62,100,82,80,"intimidate, unnerve",generation-iii,False,False,blue,bug-wings,75
285,shroomish,4,45,59.0,grass,,60,40,60,40,60,35,"effect-spore, poison-heal, quick-feet",generation-iii,False,False,brown,legs,255
286,breloom,12,392,161.0,grass,fighting,60,130,80,60,60,70,"effect-spore, poison-heal, technician",generation-iii,False,False,green,upright,90
287,slakoth,8,240,56.0,normal,,60,60,60,35,35,30,truant,generation-iii,False,False,brown,quadruped,255
288,vigoroth,14,465,154.0,normal,,80,80,80,55,55,90,vital-spirit,generation-iii,False,False,white,upright,120
289,slaking,20,1305,252.0,normal,,150,160,100,95,65,100,truant,generation-iii,False,False,brown,humanoid,45
290,nincada,5,55,53.0,bug,ground,31,45,90,30,30,40,"compound-eyes, run-away",generation-iii,False,False,gray,armor,255
291,ninjask,8,120,160.0,bug,flying,61,90,45,50,50,160,"speed-boost, infiltrator",generation-iii,False,False,yellow,bug-wings,120
292,shedinja,8,12,83.0,bug,ghost,1,90,45,30,30,40,wonder-guard,generation-iii,False,False,brown,blob,45
293,whismur,6,163,48.0,normal,,64,51,23,51,23,28,"soundproof, rattled",generation-iii,False,False,pink,upright,190
294,loudred,10,405,126.0,normal,,84,71,43,71,43,48,"soundproof, scrappy",generation-iii,False,False,blue,upright,120
295,exploud,15,840,221.0,normal,,104,91,63,91,73,68,"soundproof, scrappy",generation-iii,False,False,blue,upright,45
296,makuhita,10,864,47.0,fighting,,72,60,30,20,30,25,"thick-fat, guts, sheer-force",generation-iii,False,False,yellow,humanoid,180
297,hariyama,23,2538,166.0,fighting,,144,120,60,40,60,50,"thick-fat, guts, sheer-force",generation-iii,False,False,brown,humanoid,200
298,azurill,2,20,38.0,normal,fairy,50,20,40,20,40,20,"thick-fat, huge-power, sap-sipper",generation-iii,False,False,blue,legs,150
299,nosepass,10,970,75.0,rock,,30,45,135,45,90,30,"sturdy, magnet-pull, sand-force",generation-iii,False,False,gray,humanoid,255
300,skitty,6,110,52.0,normal,,50,45,45,35,35,50,"cute-charm, normalize, wonder-skin",generation-iii,False,False,pink,quadruped,255
301,delcatty,11,326,140.0,normal,,70,65,65,55,55,90,"cute-charm, normalize, wonder-skin",generation-iii,False,False,purple,quadruped,60
302,sableye,5,110,133.0,dark,ghost,50,75,75,65,65,50,"keen-eye, stall, prankster",generation-iii,False,False,purple,humanoid,45
303,mawile,6,115,133.0,steel,fairy,50,85,85,55,55,50,"hyper-cutter, intimidate, sheer-force",generation-iii,False,False,black,humanoid,45
304,aron,4,600,66.0,steel,rock,50,70,100,40,40,30,"sturdy, rock-head, heavy-metal",generation-iii,False,False,gray,quadruped,180
305,lairon,9,1200,151.0,steel,rock,60,90,140,50,50,40,"sturdy, rock-head, heavy-metal",generation-iii,False,False,gray,quadruped,90
306,aggron,21,3600,239.0,steel,rock,70,110,180,60,60,50,"sturdy, rock-head, heavy-metal",generation-iii,False,False,gray,upright,45
307,meditite,6,112,56.0,fighting,psychic,30,40,55,40,55,60,"pure-power, telepathy",generation-iii,False,False,blue,humanoid,180
308,medicham,13,315,144.0,fighting,psychic,60,60,75,60,75,80,"pure-power, telepathy",generation-iii,False,False,red,humanoid,90
309,electrike,6,152,59.0,electric,,40,45,40,65,40,65,"static, lightning-rod, minus",generation-iii,False,False,green,quadruped,120
310,manectric,15,402,166.0,electric,,70,75,60,105,60,105,"static, lightning-rod, minus",generation-iii,False,False,yellow,quadruped,45
311,plusle,4,42,142.0,electric,,60,50,40,85,75,95,"plus, lightning-rod",generation-iii,False,False,yellow,upright,200
312,minun,4,42,142.0,electric,,60,40,50,75,85,95,"minus, volt-absorb",generation-iii,False,False,yellow,upright,200
313,volbeat,7,177,151.0,bug,,65,73,75,47,85,85,"illuminate, swarm, prankster",generation-iii,False,False,gray,upright,150
314,illumise,6,177,151.0,bug,,65,47,75,73,85,85,"oblivious, tinted-lens, prankster",generation-iii,False,False,purple,humanoid,150
315,roselia,3,20,140.0,grass,poison,50,60,45,100,80,65,"natural-cure, poison-point, leaf-guard",generation-iii,False,False,green,humanoid,150
316,gulpin,4,103,60.0,poison,,70,43,53,43,53,40,"liquid-ooze, sticky-hold, gluttony",generation-iii,False,False,green,arms,225
317,swalot,17,800,163.0,poison,,100,73,83,73,83,55,"liquid-ooze, sticky-hold, gluttony",generation-iii,False,False,purple,arms,75
318,carvanha,8,208,61.0,water,dark,45,90,20,65,20,65,"rough-skin, speed-boost",generation-iii,False,False,red,fish,225
319,sharpedo,18,888,161.0,water,dark,70,120,40,95,40,95,"rough-skin, speed-boost",generation-iii,False,False,blue,fish,60
320,wailmer,20,1300,80.0,water,,130,70,35,70,35,60,"water-veil, oblivious, pressure",generation-iii,False,False,blue,fish,125
321,wailord,145,3980,175.0,water,,170,90,45,90,45,60,"water-veil, oblivious, pressure",generation-iii,False,False,blue,fish,60
322,numel,7,240,61.0,fire,ground,60,60,40,65,45,35,"oblivious, simple, own-tempo",generation-iii,False,False,yellow,quadruped,255
323,camerupt,19,2200,161.0,fire,ground,70,100,70,105,75,40,"magma-armor, solid-rock, anger-point",generation-iii,False,False,red,quadruped,150
324,torkoal,5,804,165.0,fire,,70,85,140,85,70,20,"white-smoke, drought, shell-armor",generation-iii,False,False,brown,quadruped,90
325,spoink,7,306,66.0,psychic,,60,25,35,70,80,60,"thick-fat, own-tempo, gluttony",generation-iii,False,False,black,arms,255
326,grumpig,9,715,165.0,psychic,,80,45,65,90,110,80,"thick-fat, own-tempo, gluttony",generation-iii,False,False,purple,upright,60
327,spinda,11,50,126.0,normal,,60,60,60,60,60,60,"own-tempo, tangled-feet, contrary",generation-iii,False,False,brown,upright,255
328,trapinch,7,150,58.0,ground,,45,100,45,45,45,10,"hyper-cutter, arena-trap, sheer-force",generation-iii,False,False,brown,armor,255
329,vibrava,11,153,119.0,ground,dragon,50,70,50,50,50,70,levitate,generation-iii,False,False,green,bug-wings,120
330,flygon,20,820,234.0,ground,dragon,80,100,80,80,80,100,levitate,generation-iii,False,False,green,wings,45
331,cacnea,4,513,67.0,grass,,50,85,40,85,40,35,"sand-veil, water-absorb",generation-iii,False,False,green,humanoid,190
332,cacturne,13,774,166.0,grass,dark,70,115,60,115,60,55,"sand-veil, water-absorb",generation-iii,False,False,green,humanoid,60
333,swablu,4,12,62.0,normal,flying,45,40,60,40,75,50,"natural-cure, cloud-nine",generation-iii,False,False,blue,wings,255
334,altaria,11,206,172.0,dragon,flying,75,70,90,70,105,80,"natural-cure, cloud-nine",generation-iii,False,False,blue,wings,45
335,zangoose,13,403,160.0,normal,,73,115,60,60,60,90,"immunity, toxic-boost",generation-iii,False,False,white,upright,90
336,seviper,27,525,160.0,poison,,73,100,60,100,60,65,"shed-skin, infiltrator",generation-iii,False,False,black,squiggle,90
337,lunatone,10,1680,161.0,rock,psychic,90,55,65,95,85,70,levitate,generation-iii,False,False,yellow,ball,45
338,solrock,12,1540,161.0,rock,psychic,90,95,85,55,65,70,levitate,generation-iii,False,False,red,ball,45
339,barboach,4,19,58.0,water,ground,50,48,43,46,41,60,"oblivious, anticipation, hydration",generation-iii,False,False,gray,fish,190
340,whiscash,9,236,164.0,water,ground,110,78,73,76,71,60,"oblivious, anticipation, hydration",generation-iii,False,False,blue,fish,75
341,corphish,6,115,62.0,water,,43,80,65,50,35,35,"hyper-cutter, shell-armor, adaptability",generation-iii,False,False,red,armor,205
342,crawdaunt,11,328,164.0,water,dark,63,120,85,90,55,55,"hyper-cutter, shell-armor, adaptability",generation-iii,False,False,red,armor,155
343,baltoy,5,215,60.0,ground,psychic,40,40,55,40,70,55,levitate,generation-iii,False,False,brown,arms,255
344,claydol,15,1080,175.0,ground,psychic,60,70,105,70,120,75,levitate,generation-iii,False,False,black,arms,90
345,lileep,10,238,71.0,rock,grass,66,41,77,61,87,23,"suction-cups, storm-drain",generation-iii,False,False,purple,blob,45
346,cradily,15,604,173.0,rock,grass,86,81,97,81,107,43,"suction-cups, storm-drain",generation-iii,False,False,green,blob,45
347,anorith,7,125,71.0,rock,bug,45,95,50,40,50,75,"battle-armor, swift-swim",generation-iii,False,False,gray,armor,45
348,armaldo,15,682,173.0,rock,bug,75,125,100,70,80,45,"battle-armor, swift-swim",generation-iii,False,False,gray,upright,45
349,feebas,6,74,40.0,water,,20,15,20,10,55,80,"swift-swim, oblivious, adaptability",generation-iii,False,False,brown,fish,255
350,milotic,62,1620,189.0,water,,95,60,79,100,125,81,"marvel-scale, competitive, cute-charm",generation-iii,False,False,pink,squiggle,60
351,castform,3,8,147.0,normal,,70,70,70,70,70,70,forecast,generation-iii,False,False,gray,ball,45
352,kecleon,10,220,154.0,normal,,60,90,70,60,120,40,"color-change, protean",generation-iii,False,False,green,upright,200
353,shuppet,6,23,59.0,ghost,,44,75,35,63,33,45,"insomnia, frisk, cursed-body",generation-iii,False,False,black,ball,225
354,banette,11,125,159.0,ghost,,64,115,65,83,63,65,"insomnia, frisk, cursed-body",generation-iii,False,False,black,upright,45
355,duskull,8,150,59.0,ghost,,20,40,90,30,90,25,"levitate, frisk",generation-iii,False,False,black,arms,190
356,dusclops,16,306,159.0,ghost,,40,70,130,60,130,25,"pressure, frisk",generation-iii,False,False,black,humanoid,90
357,tropius,20,1000,161.0,grass,flying,99,68,83,72,87,51,"chlorophyll, solar-power, harvest",generation-iii,False,False,green,quadruped,200
358,chimecho,6,10,159.0,psychic,,75,50,80,95,90,65,levitate,generation-iii,False,False,blue,arms,45
359,absol,12,470,163.0,dark,,65,130,60,75,60,75,"pressure, super-luck, justified",generation-iii,False,False,white,quadruped,30
360,wynaut,6,140,52.0,psychic,,95,23,48,23,48,23,"shadow-tag, telepathy",generation-iii,False,False,blue,upright,125
361,snorunt,7,168,60.0,ice,,50,50,50,50,50,50,"inner-focus, ice-body, moody",generation-iii,False,False,gray,humanoid,190
362,glalie,15,2565,168.0,ice,,80,80,80,80,80,80,"inner-focus, ice-body, moody",generation-iii,False,False,gray,ball,75
363,spheal,8,395,58.0,ice,water,70,40,50,55,50,25,"thick-fat, ice-body, oblivious",generation-iii,False,False,blue,fish,255
364,sealeo,11,876,144.0,ice,water,90,60,70,75,70,45,"thick-fat, ice-body, oblivious",generation-iii,False,False,blue,fish,120
365,walrein,14,1506,239.0,ice,water,110,80,90,95,90,65,"thick-fat, ice-body, oblivious",generation-iii,False,False,blue,quadruped,45
366,clamperl,4,525,69.0,water,,35,64,85,74,55,32,"shell-armor, rattled",generation-iii,False,False,blue,ball,255
367,huntail,17,270,170.0,water,,55,104,105,94,75,52,"swift-swim, water-veil",generation-iii,False,False,blue,squiggle,60
368,gorebyss,18,226,170.0,water,,55,84,105,114,75,52,"swift-swim, hydration",generation-iii,False,False,pink,squiggle,60
369,relicanth,10,234,170.0,water,rock,100,90,130,45,65,55,"swift-swim, rock-head, sturdy",generation-iii,False,False,gray,fish,25
370,luvdisc,6,87,116.0,water,,43,30,55,40,65,97,"swift-swim, hydration",generation-iii,False,False,pink,fish,225
371,bagon,6,421,60.0,dragon,,45,75,60,40,30,50,"rock-head, sheer-force",generation-iii,False,False,blue,humanoid,45
372,shelgon,11,1105,147.0,dragon,,65,95,100,60,50,50,"rock-head, overcoat",generation-iii,False,False,white,quadruped,45
373,salamence,15,1026,270.0,dragon,flying,95,135,80,110,80,100,"intimidate, moxie",generation-iii,False,False,blue,quadruped,45
374,beldum,6,952,60.0,steel,psychic,40,55,80,35,60,30,"clear-body, light-metal",generation-iii,False,False,blue,blob,3
375,metang,12,2025,147.0,steel,psychic,60,75,100,55,80,50,"clear-body, light-metal",generation-iii,False,False,blue,arms,3
376,metagross,16,5500,270.0,steel,psychic,80,135,130,95,90,70,"clear-body, light-metal",generation-iii,False,False,blue,heads,3
377,regirock,17,2300,261.0,rock,,80,100,200,50,100,50,"clear-body, sturdy",generation-iii,True,False,brown,humanoid,3
378,regice,18,1750,261.0,ice,,80,50,100,100,200,50,"clear-body, ice-body",generation-iii,True,False,blue,humanoid,3
379,registeel,19,2050,261.0,steel,,80,75,150,75,150,50,"clear-body, light-metal",generation-iii,True,False,gray,humanoid,3
380,latias,14,400,270.0,dragon,psychic,80,80,90,110,130,110,levitate,generation-iii,True,False,red,wings,3
381,latios,20,600,270.0,dragon,psychic,80,90,80,130,110,110,levitate,generation-iii,True,False,blue,wings,3
382,kyogre,45,3520,302.0,water,,100,100,90,150,140,90,drizzle,generation-iii,True,False,blue,fish,3
383,groudon,35,9500,302.0,ground,,100,150,140,100,90,90,drought,generation-iii,True,False,red,upright,3
384,rayquaza,70,2065,306.0,dragon,flying,105,150,90,150,90,95,air-lock,generation-iii,True,False,green,squiggle,45
385,jirachi,3,11,270.0,steel,psychic,100,100,100,100,100,100,serene-grace,generation-iii,False,True,yellow,humanoid,3
386,deoxys-normal,17,608,270.0,psychic,,50,150,50,150,50,150,pressure,generation-iii,False,True,red,humanoid,3
387,turtwig,4,102,64.0,grass,,55,68,64,45,55,31,"overgrow, shell-armor",generation-iv,False,False,green,quadruped,45
388,grotle,11,970,142.0,grass,,75,89,85,55,65,36,"overgrow, shell-armor",generation-iv,False,False,green,quadruped,45
389,torterra,22,3100,236.0,grass,ground,95,109,105,75,85,56,"overgrow, shell-armor",generation-iv,False,False,green,quadruped,45
390,chimchar,5,62,62.0,fire,,44,58,44,58,44,61,"blaze, iron-fist",generation-iv,False,False,brown,upright,45
391,monferno,9,220,142.0,fire,fighting,64,78,52,78,52,81,"blaze, iron-fist",generation-iv,False,False,brown,upright,45
392,infernape,12,550,240.0,fire,fighting,76,104,71,104,71,108,"blaze, iron-fist",generation-iv,False,False,brown,upright,45
393,piplup,4,52,63.0,water,,53,51,53,61,56,40,"torrent, competitive",generation-iv,False,False,blue,humanoid,45
394,prinplup,8,230,142.0,water,,64,66,68,81,76,50,"torrent, competitive",generation-iv,False,False,blue,upright,45
395,empoleon,17,845,239.0,water,steel,84,86,88,111,101,60,"torrent, competitive",generation-iv,False,False,blue,upright,45
396,starly,3,20,49.0,normal,flying,40,55,30,30,30,60,"keen-eye, reckless",generation-iv,False,False,brown,wings,255
397,staravia,6,155,119.0,normal,flying,55,75,50,40,40,80,"intimidate, reckless",generation-iv,False,False,brown,wings,120
398,staraptor,12,249,218.0,normal,flying,85,120,70,50,60,100,"intimidate, reckless",generation-iv,False,False,brown,wings,45
399,bidoof,5,200,50.0,normal,,59,45,40,35,40,31,"simple, unaware, moody",generation-iv,False,False,brown,quadruped,255
400,bibarel,10,315,144.0,normal,water,79,85,60,55,60,71,"simple, unaware, moody",generation-iv,False,False,brown,upright,127
401,kricketot,3,22,39.0,bug,,37,25,41,25,41,25,"shed-skin, run-away",generation-iv,False,False,red,humanoid,255
402,kricketune,10,255,134.0,bug,,77,85,51,55,51,65,"swarm, technician",generation-iv,False,False,red,bug-wings,45
403,shinx,5,95,53.0,electric,,45,65,34,40,34,45,"rivalry, intimidate, guts",generation-iv,False,False,blue,quadruped,235
404,luxio,9,305,127.0,electric,,60,85,49,60,49,60,"rivalry, intimidate, guts",generation-iv,False,False,blue,quadruped,120
405,luxray,14,420,235.0,electric,,80,120,79,95,79,70,"rivalry, intimidate, guts",generation-iv,False,False,blue,quadruped,45
406,budew,2,12,56.0,grass,poison,40,30,35,50,70,55,"natural-cure, poison-point, leaf-guard",generation-iv,False,False,green,humanoid,255
407,roserade,9,145,232.0,grass,poison,60,70,65,125,105,90,"natural-cure, poison-point, technician",generation-iv,False,False,green,humanoid,75
408,cranidos,9,315,70.0,rock,,67,125,40,30,30,58,"mold-breaker, sheer-force",generation-iv,False,False,blue,upright,45
409,rampardos,16,1025,173.0,rock,,97,165,60,65,50,58,"mold-breaker, sheer-force",generation-iv,False,False,blue,upright,45
410,shieldon,5,570,70.0,rock,steel,30,42,118,42,88,30,"sturdy, soundproof",generation-iv,False,False,gray,quadruped,45
411,bastiodon,13,1495,173.0,rock,steel,60,52,168,47,138,30,"sturdy, soundproof",generation-iv,False,False,gray,quadruped,45
412,burmy,2,34,45.0,bug,,40,29,45,29,45,36,"shed-skin, overcoat",generation-iv,False,False,green,blob,120
413,wormadam-plant,5,65,148.0,bug,grass,60,59,85,79,105,36,"anticipation, overcoat",generation-iv,False,False,green,blob,45
414,mothim,9,233,148.0,bug,flying,70,94,50,94,50,66,"swarm, tinted-lens",generation-iv,False,False,yellow,bug-wings,45
415,combee,3,55,49.0,bug,flying,30,30,42,30,42,70,"honey-gather, hustle",generation-iv,False,False,yellow,heads,120
416,vespiquen,12,385,166.0,bug,flying,70,80,102,80,102,40,"pressure, unnerve",generation-iv,False,False,yellow,bug-wings,45
417,pachirisu,4,39,142.0,electric,,60,45,70,45,90,95,"run-away, pickup, volt-absorb",generation-iv,False,False,white,quadruped,200
418,buizel,7,295,66.0,water,,55,65,35,60,30,85,"swift-swim, water-veil",generation-iv,False,False,brown,quadruped,190
419,floatzel,11,335,173.0,water,,85,105,55,85,50,115,"swift-swim, water-veil",generation-iv,False,False,brown,quadruped,75
420,cherubi,4,33,55.0,grass,,45,35,45,62,53,35,chlorophyll,generation-iv,False,False,pink,heads,190
421,cherrim,5,93,158.0,grass,,70,60,70,87,78,85,flower-gift,generation-iv,False,False,purple,legs,75
422,shellos,3,63,65.0,water,,76,48,48,57,62,34,"sticky-hold, storm-drain, sand-force",generation-iv,False,False,purple,squiggle,190
423,gastrodon,9,299,166.0,water,ground,111,83,68,92,82,39,"sticky-hold, storm-drain, sand-force",generation-iv,False,False,purple,squiggle,75
424,ambipom,12,203,169.0,normal,,75,100,66,60,66,115,"technician, pickup, skill-link",generation-iv,False,False,purple,upright,45
425,drifloon,4,12,70.0,ghost,flying,90,50,34,60,44,70,"aftermath, unburden, flare-boost",generation-iv,False,False,purple,arms,125
426,drifblim,12,150,174.0,ghost,flying,150,80,44,90,54,80,"aftermath, unburden, flare-boost",generation-iv,False,False,purple,arms,60
427,buneary,4,55,70.0,normal,,55,66,44,44,56,85,"run-away, klutz, limber",generation-iv,False,False,brown,upright,190
428,lopunny,12,333,168.0,normal,,65,76,84,54,96,105,"cute-charm, klutz, limber",generation-iv,False,False,brown,upright,60
429,mismagius,9,44,173.0,ghost,,60,60,60,105,105,105,levitate,generation-iv,False,False,purple,ball,45
430,honchkrow,9,273,177.0,dark,flying,100,125,52,105,52,71,"insomnia, super-luck, moxie",generation-iv,False,False,black,wings,30
431,glameow,5,39,62.0,normal,,49,55,42,42,37,85,"limber, own-tempo, keen-eye",generation-iv,False,False,gray,quadruped,190
432,purugly,10,438,158.0,normal,,71,82,64,64,59,112,"thick-fat, own-tempo, defiant",generation-iv,False,False,gray,quadruped,75
433,chingling,2,6,57.0,psychic,,45,30,50,65,50,45,levitate,generation-iv,False,False,yellow,humanoid,120
